City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Winsum,53.33,6.52,55.99,93,100,6.93,NL,2020-09-13 02:14:37
269,Akureyri,65.68,-18.09,39.2,86,90,9.17,IS,2020-09-13 02:14:37
270,Mapimi,25.82,-103.85,84.2,45,75,5.82,MX,2020-09-13 02:14:37
271,Araouane,18.9,-3.53,93.9,29,19,7.85,ML,2020-09-13 02:14:38
272,Port Macquarie,-31.43,152.92,75.99,54,100,1.01,AU,2020-09-13 02:14:38
273,Terrace,54.52,-128.6,66.2,48,90,11.41,CA,2020-09-13 02:14:39
274,Yendi,9.44,-0.01,73.49,97,100,5.68,GH,2020-09-13 02:14:39
275,Talnakh,69.49,88.4,51.8,87,99,13.42,RU,2020-09-13 02:14:39
276,Namatanai,-3.67,152.43,83.55,76,96,10.8,PG,2020-09-13 02:14:40
277,Sept-Iles,50.2,-66.38,50.0,87,5,2.24,CA,2020-09-13 02:14:40
278,Sabancuy,18.97,-91.18,81.95,77,89,4.68,MX,2020-09-13 02:14:40
279,Bathsheba,13.22,-59.52,78.8,88,20,2.24,BB,2020-09-13 02:11:47
280,Wahiawa,21.5,-158.02,87.01,54,75,13.87,US,2020-09-13 02:14:41
281,Poum,-20.23,164.02,72.72,73,75,15.61,NC,2020-09-13 02:12:21
282,Acarau,-2.89,-40.12,77.77,81,0,18.28,BR,2020-09-13 02:14:42
283,Parfenyevo,58.48,43.41,50.63,87,100,8.37,RU,2020-09-13 02:14:42
284,Guerrero Negro,27.98,-114.06,77.11,54,0,15.03,MX,2020-09-13 02:14:42
285,Sibut,5.72,19.07,71.26,95,97,0.96,CF,2020-09-13 02:14:43
286,Dubove,48.17,23.89,63.0,88,0,4.7,UA,2020-09-13 02:14:44
287,Riohacha,11.54,-72.91,81.03,85,100,6.17,CO,2020-09-13 02:14:44
288,Vallenar,-28.57,-70.76,59.9,62,0,1.39,CL,2020-09-13 02:14:44
289,Manaus,-3.1,-60.02,84.2,74,25,3.36,BR,2020-09-13 02:10:15
290,Maua,-23.67,-46.46,80.01,50,78,2.24,BR,2020-09-13 02:14:46
291,Norman Wells,65.28,-126.83,39.2,69,75,13.87,CA,2020-09-13 02:11:54
292,Westport,41.14,-73.36,64.99,63,1,12.75,US,2020-09-13 02:14:47
293,High Rock,26.62,-78.28,83.21,77,100,15.55,BS,2020-09-13 02:14:47
294,Sitka,57.05,-135.33,60.8,59,75,5.82,US,2020-09-13 02:14:48
295,Vila Velha,-20.33,-40.29,77.0,83,19,6.93,BR,2020-09-13 02:11:34
296,Esso,55.93,158.7,43.32,75,100,17.69,RU,2020-09-13 02:12:09
297,Pinega,64.7,43.39,48.69,94,100,11.41,RU,2020-09-13 02:14:49
298,Saint Anthony,45.02,-93.22,60.8,77,90,4.7,US,2020-09-13 02:14:49
299,Vila Franca Do Campo,37.72,-25.43,68.0,88,40,4.7,PT,2020-09-13 02:14:49
300,Saint-Alexandre,44.23,4.62,75.2,41,1,16.11,FR,2020-09-13 02:14:50
301,Lyubech,51.7,30.66,53.02,58,0,8.57,UA,2020-09-13 02:14:50
302,Fairbanks,64.84,-147.72,53.6,40,90,6.93,US,2020-09-13 02:10:03
